  plot trt day lwt
253 29 4 14 0.068
254 29 4 20 0.232
255 29 4 27 0.436
256 29 4 34 1.443333
257 29 4 41 3.26
258 29 4 55 8.208333
259 29 4 69 19.406667
260 29 4 84 15.661667
261 30 4 14 0.063
262 30 4 20 0.209
263 30 4 27 0.740833
264 30 4 34 1.268333
265 30 4 41 3.89
266 30 4 55 9.092
267 30 4 69 14.49
268 30 4 84 19.095
269 31 4 14 0.133
270 31 4 20 0.303
271 31 4 27 1.117
272 31 4 34 2.18
273 31 4 41 3.536667
274 31 4 55 13.16
275 31 4 69 15.79
276 31 4 84 14.775
277 32 4 14 0.081
278 32 4 20 0.255
279 32 4 27 0.764833
280 32 4 34 1.093333
281 32 4 41 3.051667
282 32 4 55 8.105
283 32 4 69 24.424
284 32 4 84 18.918333
285 33 5 15 0.109207
286 33 5 23 0.383833
287 33 5 30 1.161667
288 33 5 37 2.34
289 33 5 43 2.87
290 33 5 51 9.538333
291 33 5 64 12.683333
292 33 5 79 18.633333
293 34 5 15 0.095
294 34 5 23 0.338333
295 34 5 30 0.758333
296 34 5 37 2.52
297 34 5 43 2.518333
298 34 5 51 5.116667
299 34 5 64 8.575
300 34 5 79 14.173333
301 35 5 15 0.088
302 35 5 23 0.613167
303 35 5 30 1.315
304 35 5 37 3.021667
305 35 5 43 5.85
306 35 5 51 7.416667
307 35 5 64 11.331667
308 35 5 79 16.883333
309 36 5 15 0.088719
310 36 5 23 0.596667
311 36 5 30 1.075
312 36 5 37 3.075
313 36 5 43 3.958333
314 36 5 51 6.033333
315 36 5 64 10.436667
316 36 5 79 17.803333
317 37 5 15 0.1013
318 37 5 23 0.375333
319 37 5 30 1.921667
320 37 5 37 2.206667
321 37 5 43 4.765
322 37 5 51 9.14
323 37 5 64 15.84
324 37 5 79 18.108333
325 38 5 15 0.109765
326 38 5 23 0.483333
327 38 5 30 1.306667
328 38 5 37 3.955
329 38 5 43 4.305
330 38 5 51 8.031667
331 38 5 64 16.083333
332 38 5 79 19.573333
333 39 5 15 0.102943
334 39 5 23 0.4145
335 39 5 30 1.663333
336 39 5 37 1.39
337 39 5 43 3.001667
338 39 5 51 6.845
339 39 5 64 16.21
340 39 5 79 19.073333
341 40 5 15 0.076697
342 40 5 23 0.371833
343 40 5 30 0.745
344 40 5 37 2.246667
345 40 5 43 4.495
346 40 5 51 5.675
347 40 5 64 16.145
348 40 5 79 18.931667
349 41 6 15 0.148741
350 41 6 23 0.687
351 41 6 30 1.571667
352 41 6 37 3.813333
353 41 6 43 4.811667
354 41 6 51 11.653333
355 41 6 64 17.376667
356 41 6 79 17.896667
357 42 6 15 0.153759
358 42 6 23 0.594167
359 42 6 30 1.2
360 42 6 37 3.145
361 42 6 43 3.803333
362 42 6 51 7.416667
363 42 6 64 13.58
364 42 6 79 20.86
365 43 6 15 0.124167
366 43 6 23 0.750333
367 43 6 30 1.458333
368 43 6 37 5.758333
369 43 6 43 5.996667
370 43 6 51 8.971667
371 43 6 64 17.071667
372 43 6 79 17.816667
373 44 6 15 0.178467
374 44 6 23 0.880833
375 44 6 30 1.381667
376 44 6 37 3.628333
377 44 6 43 5.193333
378 44 6 51 5.19
379 44 6 64 15.78
380 44 6 79 21.541667
381 45 6 15 0.139147
382 45 6 23 0.455833
383 45 6 30 1.583333
384 45 6 37 4.055
385 45 6 43 4.51
386 45 6 51 8.161667
387 45 6 64 18.715
388 45 6 79 17.955
389 46 6 15 0.162706
390 46 6 23 0.773667
391 46 6 30 0.975
392 46 6 37 3.511667
393 46 6 43 4.51
394 46 6 51 7.783333
395 46 6 64 18.118333
396 46 6 79 15.946667
397 47 6 15 0.110433
398 47 6 23 0.456
399 47 6 30 1.37
400 47 6 37 2.145
401 47 6 43 5.83
402 47 6 51 8.803333
403 47 6 64 12.235
404 47 6 79 17.785
405 48 6 15 0.146
406 48 6 23 0.563667
407 48 6 30 1.478333
408 48 6 37 2.601667
409 48 6 43 6.343333
410 48 6 51 6.131667
411 48 6 64 16.411667
412 48 6 79 16.946667
